disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
5169,,,,,4523.54,,,2020-07-21T00:00:00.000Z,,0,c10686e10f1f3c9a6a89ee2d88cb8af6,2020-07-21T11:55:32.501Z,5aa2d588cb4f0f7020b1890d
5224,,,,,,,,,,0,de9c03722840b11332ed645c69d9fabe,2020-06-02T13:22:22.576Z,5aa2d588cb4f0f7020b18918
5194,,,,,,,,,,1898445.72,85b4822f779526ee5ec19859b27578ad,2020-06-02T13:22:22.510Z,5aa2d588cb4f0f7020b18912
5181,,,,,7751554.46,204884.64,,2020-07-21T00:00:00.000Z,,0,dbf8854823af106849dadca4dfd9d0c8,2020-07-21T11:55:32.523Z,5aa2d588cb4f0f7020b1891d
5206,,,,,,,,,,0,5986524c124d245ed1cbf85afff51169,2020-06-02T13:22:22.548Z,5aa2d588cb4f0f7020b18922
5219,,,,,,,,,,0,6a3e4a97e04ba07471b8c2f1bc87a3db,2020-06-02T13:22:22.572Z,5aa2d588cb4f0f7020b18917
5176,,,,,175234.98,65416.79,,2020-07-21T00:00:00.000Z,,0,d7f6fe0539b418a769b1f005f939a403,2020-07-21T11:55:32.506Z,5aa2d588cb4f0f7020b1891c
5201,,,,,7678306.31,596385.89,,2020-07-21T00:00:00.000Z,,0,3728da0ea0e3316444e0d2339c32e57e,2020-07-21T11:55:32.541Z,5aa2d588cb4f0f7020b18921
5226,,,,,334371.92,151759.21,,2020-07-21T00:00:00.000Z,,0,0b7b810974ac1f51e0cd38f6f16844aa,2020-07-21T11:55:32.598Z,5aa2d588cb4f0f7020b18926
5180,,,,,73633.42,,,2020-07-21T00:00:00.000Z,,0,5ffb8e78c84e94ec965536539eeaaec3,2020-07-21T11:55:32.522Z,5aa2d588cb4f0f7020b1892b
